Magnitud,Latitud,Longitud,Profundidad,Estatus,Fecha Hora,Fecha Hora UTC,Estado,Referencia Distancia,Referencia Direccion,Referencia Localidad
6.8,13.8,-90.8,65.0,revisado,1979-10-27 15:43:26,1979-10-27 21:43:26,CHIS,180,SURESTE,CD HIDALGO
6.5,15.9,-88.5,24.0,revisado,1980-08-08 23:45:11,1980-08-09 05:45:11,QR,291,SUR,CHETUMAL
6.5,17.8,-102.0,21.0,revisado,1981-07-25 23:14:21,1981-07-26 05:14:21,MICH,28,SURESTE,CD LAZARO CARDENAS
7.3,18.1,-102.1,21.0,revisado,1981-10-24 21:22:16,1981-10-25 03:22:16,MICH,18,NORESTE,LAS GUACAMAYAS
6.7,14.3,-92.1,45.0,revisado,1982-04-06 13:56:53,1982-04-06 19:56:53,CHIS,45,SUR,CD HIDALGO
6.9,16.4,-98.3,6.0,revisado,1982-06-07 00:52:33,1982-06-07 06:52:33,OAX,23,NOROESTE,PINOTEPA NACIONAL
7.0,16.5,-98.3,19.0,revisado,1982-06-07 04:59:40,1982-06-07 10:59:40,GRO,20,SURESTE,OMETEPEC
6.8,16.2,-95.2,50.0,revisado,1983-01-24 02:17:40,1983-01-24 08:17:40,OAX,2,SUROESTE,SALINA CRUZ
7.0,14.0,-92.0,35.0,revisado,1983-12-01 21:09:04,1983-12-02 03:09:04,CHIS,75,SURESTE,CD HIDALGO
8.1,18.4,-102.5,15.0,revisado,1985-09-19 07:17:49,1985-09-19 13:17:49,MICH,45,NOROESTE,LA MIRA
7.6,17.8,-101.7,17.0,revisado,1985-09-20 19:37:14,1985-09-21 01:37:14,GRO,25,NOROESTE,ZIHUATANEJO
6.5,14.3,-91.7,33.0,revisado,1986-03-24 04:34:02,1986-03-24 10:34:02,CHIS,67,SURESTE,CD HIDALGO
7.0,18.4,-103.0,22.0,revisado,1986-04-30 01:07:19,1986-04-30 07:07:19,MICH,48,SUR,COALCOMAN
6.5,33.1,-116.0,10.0,revisado,1987-11-24 07:15:59,1987-11-24 13:15:59,BC,63,NOROESTE,SANTA ISABEL
6.6,26.8,-111.0,12.0,revisado,1988-06-18 16:49:44,1988-06-18 22:49:44,BCS,95,NORESTE,LORETO
6.8,16.8,-99.3,23.0,revisado,1989-04-25 08:29:03,1989-04-25 14:29:03,GRO,12,ESTE,SAN MARCOS
6.5,18.0,-105.7,27.0,revisado,1989-08-28 22:16:26,1989-08-29 04:16:26,JAL,179,SUROESTE,CIHUATLAN
6.7,14.6,-92.8,47.0,revisado,1993-09-03 06:35:05,1993-09-03 12:35:05,CHIS,65,SUROESTE,TAPACHULA
7.2,14.8,-92.7,34.0,revisado,1993-09-10 13:12:57,1993-09-10 19:12:57,CHIS,44,SUROESTE,HUIXTLA
6.6,16.8,-98.8,30.0,revisado,1993-10-24 01:52:19,1993-10-24 07:52:19,GRO,40,OESTE,OMETEPEC
6.6,18.0,-101.5,53.0,revisado,1994-12-10 10:17:40,1994-12-10 16:17:40,GRO,37,NORTE,ZIHUATANEJO
6.5,12.2,-88.4,27.0,revisado,1995-06-14 05:11:50,1995-06-14 11:11:50,CHIS,494,SURESTE,CD HIDALGO
6.5,26.2,-110.4,10.0,revisado,1995-08-28 04:46:12,1995-08-28 10:46:12,BCS,101,ESTE,LORETO
7.3,16.8,-98.7,21.0,revisado,1995-09-14 08:04:33,1995-09-14 14:04:33,GRO,29,NOROESTE,OMETEPEC
8.0,19.0,-104.2,25.0,revisado,1995-10-09 09:35:54,1995-10-09 15:35:54,COL,10,SURESTE,MANZANILLO
7.1,15.9,-98.0,15.0,revisado,1996-02-24 21:08:19,1996-02-25 03:08:19,OAX,52,SUR,PINOTEPA NACIONAL
6.6,17.5,-101.1,22.0,revisado,1996-07-15 16:23:34,1996-07-15 21:23:34,GRO,17,ESTE,PETATLAN
7.1,18.3,-102.6,40.0,revisado,1997-01-11 14:28:26,1997-01-11 20:28:26,MICH,43,NOROESTE,LA MIRA
6.9,19.0,-107.2,15.0,revisado,1997-05-01 06:37:36,1997-05-01 11:37:36,JAL,272,SUROESTE,PUERTO VALLARTA
6.7,15.9,-98.3,15.0,revisado,1997-07-19 09:22:09,1997-07-19 14:22:09,OAX,58,SUROESTE,PINOTEPA NACIONAL
6.6,14.4,-91.9,55.0,revisado,1998-01-10 02:20:06,1998-01-10 08:20:06,CHIS,42,SURESTE,CD HIDALGO
6.7,13.7,-91.9,16.0,revisado,1998-03-02 20:24:42,1998-03-03 02:24:42,CHIS,108,SUR,CD HIDALGO
7.4,16.1,-97.0,39.0,revisado,1999-09-30 11:31:13,1999-09-30 16:31:13,OAX,22,NORESTE,PUERTO ESCONDIDO
7.0,18.0,-102.7,16.0,revisado,2000-08-09 06:41:47,2000-08-09 11:41:47,MICH,35,OESTE,LA MIRA
6.5,18.6,-105.1,12.0,revisado,2001-05-19 23:21:37,2001-05-20 04:21:37,JAL,88,SUROESTE,CIHUATLAN
6.5,16.8,-101.1,22.0,revisado,2002-04-18 00:02:45,2002-04-18 05:02:45,GRO,72,SUROESTE,TECPAN
6.8,13.4,-91.6,17.0,revisado,2003-01-20 20:46:54,2003-01-21 02:46:54,CHIS,156,SURESTE,CD HIDALGO
7.6,18.6,-104.2,9.0,revisado,2003-01-21 20:06:34,2003-01-22 02:06:34,COL,46,SUROESTE,CD DE ARMERIA
6.5,26.5,-110.0,12.0,revisado,2003-03-12 17:41:42,2003-03-12 23:41:42,SON,53,SUROESTE,HUATABAMPO
6.6,28.4,-112.5,15.0,revisado,2006-01-04 02:32:37,2006-01-04 08:32:37,SON,113,SUROESTE,M ALEMAN(LA DOCE)
6.6,14.1,-92.9,23.0,revisado,2008-10-16 14:41:25,2008-10-16 19:41:25,CHIS,103,SUROESTE,CD HIDALGO
6.5,28.9,-112.7,10.0,revisado,2009-08-03 12:59:56,2009-08-03 17:59:56,SON,123,OESTE,M ALEMAN(LA DOCE)
7.2,32.5,-115.4,10.0,revisado,2010-04-04 17:40:42,2010-04-04 22:40:42,BC,23,SURESTE,MEXICALI
6.5,24.7,-109.4,8.0,revisado,2010-10-21 12:53:11,2010-10-21 17:53:11,BCS,107,NORESTE,LA PAZ
6.5,17.8,-100.0,54.0,revisado,2011-12-10 19:47:25,2011-12-11 01:47:25,GRO,50,NOROESTE,ZUMPANGO DEL RIO
7.5,16.3,-98.5,18.0,revisado,2012-03-20 12:02:48,2012-03-20 18:02:48,GRO,46,SUR,OMETEPEC
6.8,28.8,-113.2,5.0,revisado,2012-04-12 02:15:46,2012-04-12 07:15:46,BCS,130,NORESTE,GUERRERO NEGRO
7.3,14.0,-92.3,17.1,revisado,2012-11-07 10:35:50,2012-11-07 16:35:50,CHIS,74,SUR,CD HIDALGO
7.2,17.0,-101.5,18.0,revisado,2014-04-18 09:27:21,2014-04-18 14:27:21,GRO,61,SUROESTE,PETATLAN
6.5,17.0,-100.9,10.0,revisado,2014-05-08 12:00:14,2014-05-08 17:00:14,GRO,40,SUROESTE,TECPAN
6.9,14.7,-92.6,56.7,revisado,2014-07-07 06:23:59,2014-07-07 11:23:59,CHIS,43,SUROESTE,TAPACHULA
6.6,25.0,-109.5,8.2,revisado,2015-09-13 03:14:09,2015-09-13 08:14:09,SIN,100,SUROESTE,LOS MOCHIS
6.5,18.8,-107.0,10.0,revisado,2016-01-21 12:06:58,2016-01-21 18:06:58,JAL,258,OESTE,CIHUATLAN
6.6,10.3,-103.7,10.0,revisado,2016-04-28 20:33:39,2016-04-29 01:33:39,GRO,837,SUROESTE,TECPAN
8.2,14.8,-94.1,45.9,revisado,2017-09-07 23:49:17,2017-09-08 04:49:17,CHIS,140,SUROESTE,PIJIJIAPAN
7.2,16.2,-98.0,16.0,revisado,2018-02-16 17:39:39,2018-02-16 23:39:39,OAX,14,SURESTE,PINOTEPA NACIONAL
7.4,15.8,-96.1,22.8,revisado,2020-06-23 10:29:03,2020-06-23 15:29:03,OAX,4,NORTE,CRUCECITA
7.1,16.8,-100.0,15.0,revisado,2021-09-07 20:47:46,2021-09-08 01:47:46,GRO,14,SUROESTE,ACAPULCO
7.7,18.2,-103.3,12.1,revisado,2022-09-19 13:05:09,2022-09-19 18:05:09,MICH,61,SUR,COALCOMAN
6.9,18.0,-103.2,8.0,revisado,2022-09-22 01:16:08,2022-09-22 06:16:08,MICH,85,SUR,COALCOMAN
6.5,14.8,-94.1,16.1,revisado,2023-07-14 03:29:01,2023-07-14 09:29:01,CHIS,137,SUROESTE,PIJIJIAPAN
